playerid,baseprice,category,finalprice,playername,point,teamname,playerphoto,stats,nationality
B80,100,BOWLER,460,"JOSH HAZLEWOOD",9,RR,https://m.media-amazon.com/images/M/MV5BOGE2YTFmNGEtM2U3MS00ZDlmLWEzZTItMGQ4NTM1ZWM3MjgzXkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_.jpg,https://masterplacestats.s3.ap-south-1.amazonaws.com/Bowler/80B.jpg,OVERSEAS
C01,200,ALLROUNDER,2050,"RAVINDRA JADEJA",11,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/46.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/1C.jpg,INDIAN
C02,100,ALLROUNDER,500,"SHIVAM DUBE",9,RR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/211.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/2C.jpg,INDIAN
C03,100,ALLROUNDER,460,"SHARDUL THAKUR",9,RR,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322696.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/3C.jpg,INDIAN
C04,200,ALLROUNDER,400,"AXAR PATEL",9,RR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/110.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/4C.jpg,INDIAN
C05,100,ALLROUNDER,100,"LALIT YADAV",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/538.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/5C.jpg,INDIAN
C06,100,ALLROUNDER,100,"ABHINAV MANOHAR",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/974.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/6C.jpg,INDIAN
C07,100,ALLROUNDER,300,"VIJAY SHANKAR",8,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/61.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/7C.jpg,INDIAN
C08,100,ALLROUNDER,500,"SHAHRUKH KHAN",7,MI,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIpmWAgle4GionZFKFxkMGVA3Lmi1FXrZPZg&usqp=CAU,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/8C.jpg,INDIAN
C09,100,ALLROUNDER,420,"RAHUL TEWATIA",9,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/120.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/9C.jpg,INDIAN
C10,100,ALLROUNDER,100,"ANUKUL ROY",7,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/160.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/10C.jpg,INDIAN
C11,100,ALLROUNDER,340,"VENKATESH IYER",7,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/584.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/11C.jpg,INDIAN
C12,100,ALLROUNDER,340,"KRISHNAPPA GOWTHAM",8,KKR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/179.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/12C.jpg,INDIAN
C13,100,ALLROUNDER,400,"KRUNAL PANDYA",9,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/17.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/13C.jpg,INDIAN
C14,100,ALLROUNDER,100,"ARSHIN KULKARNI",5,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_480,q_50/lsci/db/PICTURES/CMS/372400/372493.10.jpg",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/14C.jpg,INDIAN
C15,100,ALLROUNDER,100,"ARJUN TENDULKAR",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/585.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/15C.jpg,INDIAN
C16,100,ALLROUNDER,280,"NEHAL WADHERA",6,KKR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1541.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/16C.jpg,INDIAN
C17,200,ALLROUNDER,2350,"HARDIK PANDYA",11,DC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8g7KsNMkhAeaKZk5wxGNdJfdP95ASw7gOoA&usqp=CAU,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/17C.jpg,INDIAN
C18,100,ALLROUNDER,100,"ATHARVA TAIDE",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1001.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/18C.jpg,INDIAN
C19,100,ALLROUNDER,100,"RISHI DHAWAN",7,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/996.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/19C.jpg,INDIAN
C20,200,ALLROUNDER,420,"RAVICHANDRAN ASHWIN",9,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/45.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/20C.jpg,INDIAN
C21,100,ALLROUNDER,280,"MAHIPAL LOMROR",7,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/184.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/21C.jpg,INDIAN
C22,100,ALLROUNDER,200,"MAYANK DAGAR",8,GT,https://www.mykhel.com/thumb/220x100x220/cricket/players/3/8233.1680520378.jpg,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/22C.jpg,INDIAN
C23,100,ALLROUNDER,260,"ABHISHEK SHARMA",8,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/212.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/23C.jpg,INDIAN
C24,100,ALLROUNDER,400,"WASHINGTON SUNDAR",8,MI,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/20.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/24C.jpg,INDIAN
C25,100,ALLROUNDER,100,"SHAHBAZ AHAMAD",6,NULL,https://e8h4f7q7.rocketcdn.me/wp-content/uploads/2022/04/Shahbaz-Ahmed-Biography-768x768.jpg,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/25C.jpg,INDIAN
C26,100,ALLROUNDER,100,"MITCHELL SANTNER",8,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/75.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/26C.jpg,OVERSEAS
C27,100,ALLROUNDER,1500,"MOEEN ALI",11,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/206.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/27C.jpg,OVERSEAS
C28,200,ALLROUNDER,260,"RACHIN RAVINDRA",8,DC,https://thelocalbrief.com/wp-content/uploads/2023/10/rachin-ravindra.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/28C.jpg,OVERSEAS
C29,200,ALLROUNDER,200,"DARYL MITCHELL",9,CSK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8bF6ZBLbtF5ILbwpke9Otb732PK96g7VJ4A&usqp=CAU,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/29C.jpg,OVERSEAS
C30,200,ALLROUNDER,200,"MITCHELL MARSH",9,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/40.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/30C.jpg,OVERSEAS
C31,100,ALLROUNDER,100,"AZMATULLAH OMARZAI",7,NULL,https://static-files.cricket-australia.pulselive.com/headshots/440/4203-camedia.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/31C.jpg,OVERSEAS
C32,200,ALLROUNDER,2150,"RASHID KHAN",13,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/32C.jpg,OVERSEAS
C33,100,ALLROUNDER,1450,"ANDRE RUSSEL",12,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/141.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/33C.jpg,OVERSEAS
C34,100,ALLROUNDER,100,"SUNIL NARINE",11,MI,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/156.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/34C.jpg,OVERSEAS
C35,100,ALLROUNDER,220,"KYLE MAYERS",8,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/726.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/35C.jpg,OVERSEAS
C36,100,ALLROUNDER,220,"MARCUS STOINIS",10,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/23.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/36C.jpg,OVERSEAS
C37,100,ALLROUNDER,100,"DAVID WILLEY",7,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322904.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/37C.jpg,OVERSEAS
C38,100,ALLROUNDER,100,"MOHAMMAD NABI",9,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316558.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/38C.jpg,OVERSEAS
C39,100,ALLROUNDER,100,"ROMARIO SHEPHERD",7,NULL,https://www.mykhel.com/thumb/247x100x233/cricket/players/8/11908.jpg,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/39C.jpg,OVERSEAS
C40,100,ALLROUNDER,100,"GERALD COETZEE",9,KKR,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348579.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/40C.jpg,OVERSEAS
C41,200,ALLROUNDER,260,"LIAM LIVINGSTON",9,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/183.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/41C.jpg,OVERSEAS
C42,100,ALLROUNDER,100,"CHRIS WOAKES",8,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316603.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/42C.jpg,OVERSEAS
C43,100,ALLROUNDER,100,"SIKANDAR RAZA",9,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/820.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/43C.jpg,OVERSEAS
C44,200,ALLROUNDER,200,"SAM CURRAN",9,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/138.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/44C.jpg,OVERSEAS
C45,200,ALLROUNDER,380,"GLENN MAXWELL",11,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/28.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/45C.jpg,OVERSEAS
C46,200,ALLROUNDER,240,"CAMERON GREEN",9,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/550.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/46C.jpg,OVERSEAS
C47,200,ALLROUNDER,200,"MARCO JANSEN",8,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/586.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/47C.jpg,OVERSEAS
C48,200,ALLROUNDER,200,"WANINDU HASARANGA",8,SRH,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322946.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/48C.jpg,OVERSEAS
C49,100,ALLROUNDER,240,"SHAKIB AL HASAN",9,KKR,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316581.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/49C.jpg,OVERSEAS
C50,100,ALLROUNDER,100,"BAS DE LEEDE",7,NULL,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/322600/322637.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/All-Rounder/50C.jpg,OVERSEAS
D01,200,WICKETKEEPER,3300,"M S DHONI",12,KKR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/57.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/1D.jpg,INDIAN
D02,100,WICKETKEEPER,100,"AVANISH RAO ARAVELLY",5,NULL,https://onlineprosess.com/wp-content/uploads/2023/12/410288882_740592950752753_688150773467046317_n.jpg,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/2D.jpg,INDIAN
D03,200,WICKETKEEPER,1700,"RISHABH PANT",10,GT,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323036.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/3D.jpg,INDIAN
D04,100,WICKETKEEPER,100,"ABISHEK POREL",6,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1580.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/4D.jpg,INDIAN
D05,100,WICKETKEEPER,380,"WRIDDHIMAN SAHA",8,KKR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/225.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/5D.jpg,INDIAN
D06,100,WICKETKEEPER,100,"K S BHARAT",7,NULL,https://cdn.iplbetonline.in/wp-content/uploads/2023/04/365-780x780.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/6D.jpg,INDIAN
D07,200,WICKETKEEPER,1600,"K L RAHUL",11,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/19.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/7D.jpg,INDIAN
D08,100,WICKETKEEPER,400,"ISHAN KISHAN",9,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/164.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/8D.jpg,INDIAN
D09,100,WICKETKEEPER,100,"VISHNU VINOD",8,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/581.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/9D.jpg,INDIAN
D10,100,WICKETKEEPER,100,"JITESH SHARMA",8,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1000.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/10D.jpg,INDIAN
D11,100,WICKETKEEPER,400,"SANJU SAMSON",9,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/190.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/11D.jpg,INDIAN
D12,100,WICKETKEEPER,400,"DHRUV JUREL",8,MI,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1004.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/12D.jpg,INDIAN
D13,100,WICKETKEEPER,100,"ANUJ RAWAT",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/534.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/13D.jpg,INDIAN
D14,100,WICKETKEEPER,1700,"DINESH KARTHIK",11,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/13.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/14D.jpg,INDIAN
D15,100,WICKETKEEPER,100,"KEDAR JADHAV",6,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/297.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/15D.jpg,INDIAN
D16,100,WICKETKEEPER,440,"DEVON CONVEY",9,RR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/601.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/16D.jpg,OVERSEAS
D17,100,WICKETKEEPER,100,"SHAI HOPE",5,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320122.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/17D.jpg,OVERSEAS
D18,100,WICKETKEEPER,100,"TRISTAN STUBBS",8,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348577.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/18D.jpg,OVERSEAS
D19,100,WICKETKEEPER,100,"MATTHEW WADE",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/549.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/19D.jpg,OVERSEAS
D20,100,WICKETKEEPER,100,"RAHMANULLAH GURBAZ",6,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/641.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/20D.jpg,OVERSEAS
D21,200,WICKETKEEPER,360,"QUINTON DE KOCK",9,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/170.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/21D.jpg,OVERSEAS
D22,200,WICKETKEEPER,400,"NICHOLAS POORAN",9,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/136.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/22D.jpg,OVERSEAS
D23,200,WICKETKEEPER,200,"JONNY BAIRSTOW",8,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/216.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/23D.jpg,OVERSEAS
D24,200,WICKETKEEPER,1700,"JOS BUTTLER",10,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/182.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/24D.jpg,OVERSEAS
D25,200,WICKETKEEPER,320,"HEINRICH  KLAASEN",9,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/202.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Wicketkeeper/25D.jpg,OVERSEAS
E01,200,BATSMAN,600,"AB DE VILLIERS",15,PBKS,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316555.png",NULL,OVERSEAS
E02,200,BATSMAN,460,"CHRIS GAYLE",15,RR,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316494.png",NULL,OVERSEAS
E03,200,BATSMAN,200,"BRENDON McCULLUM",13,NULL,https://i.pinimg.com/474x/38/50/7e/38507edd2df178149cbf1cb444ea198c.jpg,NULL,OVERSEAS
E04,200,ALLROUNDER,200,"SHANE WATSON",14,NULL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316502.png",NULL,OVERSEAS
